"pais","acc","any","iso2"
"Ireland",6,"1996, 1994, 1993, 1992, 1987, 1980","IE"
"Sweden",5,"2015, 2012, 1999, 1991, 1984","SE"
"Israel",4,"2018, 1998, 1979, 1978","IL"
"United Kingdom",3,"1997, 1981, 1976","GB"
"Norway",3,"2009, 1995, 1985","NO"
"France",2,"1991, 1977","FR"
"Germany",2,"2010, 1982","DE"
"Denmark",2,"2013, 2000","DK"
"Ukraine",2,"2016, 2004","UA"
"The Netherlands",2,"2019, 1975","NL"
"Luxembourg",1,"1983","LU"
"Belgium",1,"1986","BE"
"Switzerland",1,"1988","CH"
"Yugoslavia",1,"1989","YU"
"Italy",1,"1990","IT"
"Estonia",1,"2001","EE"
"Latvia",1,"2002","LV"
"Turkey",1,"2003","TR"
"Greece",1,"2005","GR"
"Finland",1,"2006","FI"
"Serbia",1,"2007","RS"
"Russia",1,"2008","RU"
"Azerbaijan",1,"2011","AZ"
"Austria",1,"2014","AT"
"Portugal",1,"2017","PT"
