"year","edition","to","points","pos","acc"
1996,"1996f","Ireland",162,1,6
1994,"1994f","Ireland",226,1,5
2015,"2015f","Sweden",365,1,5
1993,"1993f","Ireland",187,1,4
2012,"2012f","Sweden",372,1,4
2018,"2018f","Israel",529,1,4
1992,"1992f","Ireland",155,1,3
1997,"1997f","United Kingdom",227,1,3
1998,"1998f","Israel",172,1,3
1999,"1999f","Sweden",163,1,3
2009,"2009f","Norway",387,1,3
1979,"1979f","Israel",125,1,2
1981,"1981f","United Kingdom",136,1,2
1987,"1987f","Ireland",172,1,2
1991,"1991f","France",146,1,2
1991,"1991f","Sweden",146,1,2
1995,"1995f","Norway",148,1,2
2010,"2010f","Germany",246,1,2
2013,"2013f","Denmark",281,1,2
2016,"2016f","Ukraine",534,1,2
2019,"2019f","The Netherlands",498,1,2
1975,"1975f","The Netherlands",152,1,1
1976,"1976f","United Kingdom",164,1,1
1977,"1977f","France",136,1,1
1978,"1978f","Israel",157,1,1
1980,"1980f","Ireland",143,1,1
1982,"1982f","Germany",161,1,1
1983,"1983f","Luxembourg",142,1,1
1984,"1984f","Sweden",145,1,1
1985,"1985f","Norway",123,1,1
1986,"1986f","Belgium",176,1,1
1988,"1988f","Switzerland",137,1,1
1989,"1989f","Yugoslavia",137,1,1
1990,"1990f","Italy",149,1,1
2000,"2000f","Denmark",195,1,1
2001,"2001f","Estonia",198,1,1
2002,"2002f","Latvia",176,1,1
2003,"2003f","Turkey",167,1,1
2004,"2004f","Ukraine",280,1,1
2005,"2005f","Greece",230,1,1
2006,"2006f","Finland",292,1,1
2007,"2007f","Serbia",268,1,1
2008,"2008f","Russia",272,1,1
2011,"2011f","Azerbaijan",221,1,1
2014,"2014f","Austria",290,1,1
2017,"2017f","Portugal",758,1,1
